path,emotion_id,emotion,intensity,statement,repetition,actor
../data/raw\Actor_02\03-01-05-01-01-01-02.wav,05,angry,01,01,01,02
../data/raw\Actor_02\03-01-05-01-01-02-02.wav,05,angry,01,01,02,02
../data/raw\Actor_02\03-01-05-01-02-01-02.wav,05,angry,01,02,01,02
../data/raw\Actor_02\03-01-05-01-02-02-02.wav,05,angry,01,02,02,02
../data/raw\Actor_02\03-01-05-02-01-01-02.wav,05,angry,02,01,01,02
../data/raw\Actor_02\03-01-05-02-01-02-02.wav,05,angry,02,01,02,02
../data/raw\Actor_02\03-01-05-02-02-01-02.wav,05,angry,02,02,01,02
../data/raw\Actor_02\03-01-05-02-02-02-02.wav,05,angry,02,02,02,02
../data/raw\Actor_02\03-01-06-01-01-01-02.wav,06,fearful,01,01,01,02
../data/raw\Actor_02\03-01-06-01-01-02-02.wav,06,fearful,01,01,02,02
../data/raw\Actor_02\03-01-06-01-02-01-02.wav,06,fearful,01,02,01,02
../data/raw\Actor_02\03-01-06-01-02-02-02.wav,06,fearful,01,02,02,02
../data/raw\Actor_02\03-01-06-02-01-01-02.wav,06,fearful,02,01,01,02
../data/raw\Actor_02\03-01-06-02-01-02-02.wav,06,fearful,02,01,02,02
../data/raw\Actor_02\03-01-06-02-02-01-02.wav,06,fearful,02,02,01,02
../data/raw\Actor_02\03-01-06-02-02-02-02.wav,06,fearful,02,02,02,02
../data/raw\Actor_02\03-01-07-01-01-01-02.wav,07,disgust,01,01,01,02
../data/raw\Actor_02\03-01-07-01-01-02-02.wav,07,disgust,01,01,02,02
../data/raw\Actor_02\03-01-07-01-02-01-02.wav,07,disgust,01,02,01,02
../data/raw\Actor_02\03-01-07-01-02-02-02.wav,07,disgust,01,02,02,02
../data/raw\Actor_02\03-01-07-02-01-01-02.wav,07,disgust,02,01,01,02
../data/raw\Actor_02\03-01-07-02-01-02-02.wav,07,disgust,02,01,02,02
../data/raw\Actor_02\03-01-07-02-02-01-02.wav,07,disgust,02,02,01,02
../data/raw\Actor_02\03-01-07-02-02-02-02.wav,07,disgust,02,02,02,02
../data/raw\Actor_02\03-01-08-01-01-01-02.wav,08,surprised,01,01,01,02
../data/raw\Actor_02\03-01-08-01-01-02-02.wav,08,surprised,01,01,02,02
../data/raw\Actor_02\03-01-08-01-02-01-02.wav,08,surprised,01,02,01,02
../data/raw\Actor_02\03-01-08-01-02-02-02.wav,08,surprised,01,02,02,02
../data/raw\Actor_02\03-01-08-02-01-01-02.wav,08,surprised,02,01,01,02
../data/raw\Actor_02\03-01-08-02-01-02-02.wav,08,surprised,02,01,02,02
../data/raw\Actor_02\03-01-08-02-02-01-02.wav,08,surprised,02,02,01,02
../data/raw\Actor_02\03-01-08-02-02-02-02.wav,08,surprised,02,02,02,02
../data/raw\Actor_03\03-01-01-01-01-01-03.wav,01,neutral,01,01,01,03
../data/raw\Actor_03\03-01-01-01-01-02-03.wav,01,neutral,01,01,02,03
../data/raw\Actor_03\03-01-01-01-02-01-03.wav,01,neutral,01,02,01,03
../data/raw\Actor_03\03-01-01-01-02-02-03.wav,01,neutral,01,02,02,03
../data/raw\Actor_03\03-01-02-01-01-01-03.wav,02,calm,01,01,01,03
../data/raw\Actor_03\03-01-02-01-01-02-03.wav,02,calm,01,01,02,03
../data/raw\Actor_03\03-01-02-01-02-01-03.wav,02,calm,01,02,01,03
../data/raw\Actor_03\03-01-02-01-02-02-03.wav,02,calm,01,02,02,03
../data/raw\Actor_03\03-01-02-02-01-01-03.wav,02,calm,02,01,01,03
../data/raw\Actor_03\03-01-02-02-01-02-03.wav,02,calm,02,01,02,03
../data/raw\Actor_03\03-01-02-02-02-01-03.wav,02,calm,02,02,01,03
../data/raw\Actor_03\03-01-02-02-02-02-03.wav,02,calm,02,02,02,03
../data/raw\Actor_03\03-01-03-01-01-01-03.wav,03,happy,01,01,01,03
../data/raw\Actor_03\03-01-03-01-01-02-03.wav,03,happy,01,01,02,03
../data/raw\Actor_03\03-01-03-01-02-01-03.wav,03,happy,01,02,01,03
../data/raw\Actor_03\03-01-03-01-02-02-03.wav,03,happy,01,02,02,03
../data/raw\Actor_03\03-01-03-02-01-01-03.wav,03,happy,02,01,01,03
../data/raw\Actor_03\03-01-03-02-01-02-03.wav,03,happy,02,01,02,03
../data/raw\Actor_03\03-01-03-02-02-01-03.wav,03,happy,02,02,01,03
../data/raw\Actor_03\03-01-03-02-02-02-03.wav,03,happy,02,02,02,03
../data/raw\Actor_03\03-01-04-01-01-01-03.wav,04,sad,01,01,01,03
../data/raw\Actor_03\03-01-04-01-01-02-03.wav,04,sad,01,01,02,03
../data/raw\Actor_03\03-01-04-01-02-01-03.wav,04,sad,01,02,01,03
../data/raw\Actor_03\03-01-04-01-02-02-03.wav,04,sad,01,02,02,03
../data/raw\Actor_03\03-01-04-02-01-01-03.wav,04,sad,02,01,01,03
../data/raw\Actor_03\03-01-04-02-01-02-03.wav,04,sad,02,01,02,03
../data/raw\Actor_03\03-01-04-02-02-01-03.wav,04,sad,02,02,01,03
../data/raw\Actor_03\03-01-04-02-02-02-03.wav,04,sad,02,02,02,03
../data/raw\Actor_03\03-01-05-01-01-01-03.wav,05,angry,01,01,01,03
../data/raw\Actor_03\03-01-05-01-01-02-03.wav,05,angry,01,01,02,03
../data/raw\Actor_03\03-01-05-01-02-01-03.wav,05,angry,01,02,01,03
../data/raw\Actor_03\03-01-05-01-02-02-03.wav,05,angry,01,02,02,03
../data/raw\Actor_03\03-01-05-02-01-01-03.wav,05,angry,02,01,01,03
../data/raw\Actor_03\03-01-05-02-01-02-03.wav,05,angry,02,01,02,03
../data/raw\Actor_03\03-01-05-02-02-01-03.wav,05,angry,02,02,01,03
../data/raw\Actor_03\03-01-05-02-02-02-03.wav,05,angry,02,02,02,03
../data/raw\Actor_03\03-01-06-01-01-01-03.wav,06,fearful,01,01,01,03
../data/raw\Actor_03\03-01-06-01-01-02-03.wav,06,fearful,01,01,02,03
../data/raw\Actor_03\03-01-06-01-02-01-03.wav,06,fearful,01,02,01,03
../data/raw\Actor_03\03-01-06-01-02-02-03.wav,06,fearful,01,02,02,03
../data/raw\Actor_03\03-01-06-02-01-01-03.wav,06,fearful,02,01,01,03
../data/raw\Actor_03\03-01-06-02-01-02-03.wav,06,fearful,02,01,02,03
../data/raw\Actor_03\03-01-06-02-02-01-03.wav,06,fearful,02,02,01,03
../data/raw\Actor_03\03-01-06-02-02-02-03.wav,06,fearful,02,02,02,03
../data/raw\Actor_03\03-01-07-01-01-01-03.wav,07,disgust,01,01,01,03
../data/raw\Actor_03\03-01-07-01-01-02-03.wav,07,disgust,01,01,02,03
../data/raw\Actor_03\03-01-07-01-02-01-03.wav,07,disgust,01,02,01,03
../data/raw\Actor_03\03-01-07-01-02-02-03.wav,07,disgust,01,02,02,03
../data/raw\Actor_03\03-01-07-02-01-01-03.wav,07,disgust,02,01,01,03
../data/raw\Actor_03\03-01-07-02-01-02-03.wav,07,disgust,02,01,02,03
../data/raw\Actor_03\03-01-07-02-02-01-03.wav,07,disgust,02,02,01,03
../data/raw\Actor_03\03-01-07-02-02-02-03.wav,07,disgust,02,02,02,03
../data/raw\Actor_03\03-01-08-01-01-01-03.wav,08,surprised,01,01,01,03
../data/raw\Actor_03\03-01-08-01-01-02-03.wav,08,surprised,01,01,02,03
../data/raw\Actor_03\03-01-08-01-02-01-03.wav,08,surprised,01,02,01,03
../data/raw\Actor_03\03-01-08-01-02-02-03.wav,08,surprised,01,02,02,03
../data/raw\Actor_03\03-01-08-02-01-01-03.wav,08,surprised,02,01,01,03
../data/raw\Actor_03\03-01-08-02-01-02-03.wav,08,surprised,02,01,02,03
../data/raw\Actor_03\03-01-08-02-02-01-03.wav,08,surprised,02,02,01,03
../data/raw\Actor_03\03-01-08-02-02-02-03.wav,08,surprised,02,02,02,03
../data/raw\Actor_04\03-01-01-01-01-01-04.wav,01,neutral,01,01,01,04
../data/raw\Actor_04\03-01-01-01-01-02-04.wav,01,neutral,01,01,02,04
../data/raw\Actor_04\03-01-01-01-02-01-04.wav,01,neutral,01,02,01,04
../data/raw\Actor_04\03-01-01-01-02-02-04.wav,01,neutral,01,02,02,04
../data/raw\Actor_04\03-01-02-01-01-01-04.wav,02,calm,01,01,01,04
../data/raw\Actor_04\03-01-02-01-01-02-04.wav,02,calm,01,01,02,04
../data/raw\Actor_04\03-01-02-01-02-01-04.wav,02,calm,01,02,01,04
../data/raw\Actor_04\03-01-02-01-02-02-04.wav,02,calm,01,02,02,04
../data/raw\Actor_04\03-01-02-02-01-01-04.wav,02,calm,02,01,01,04
../data/raw\Actor_04\03-01-02-02-01-02-04.wav,02,calm,02,01,02,04
../data/raw\Actor_04\03-01-02-02-02-01-04.wav,02,calm,02,02,01,04
../data/raw\Actor_04\03-01-02-02-02-02-04.wav,02,calm,02,02,02,04
../data/raw\Actor_04\03-01-03-01-01-01-04.wav,03,happy,01,01,01,04
../data/raw\Actor_04\03-01-03-01-01-02-04.wav,03,happy,01,01,02,04
../data/raw\Actor_04\03-01-03-01-02-01-04.wav,03,happy,01,02,01,04
../data/raw\Actor_04\03-01-03-01-02-02-04.wav,03,happy,01,02,02,04
../data/raw\Actor_04\03-01-03-02-01-01-04.wav,03,happy,02,01,01,04
../data/raw\Actor_04\03-01-03-02-01-02-04.wav,03,happy,02,01,02,04
../data/raw\Actor_04\03-01-03-02-02-01-04.wav,03,happy,02,02,01,04
../data/raw\Actor_04\03-01-03-02-02-02-04.wav,03,happy,02,02,02,04
../data/raw\Actor_04\03-01-04-01-01-01-04.wav,04,sad,01,01,01,04
../data/raw\Actor_04\03-01-04-01-01-02-04.wav,04,sad,01,01,02,04
../data/raw\Actor_04\03-01-04-01-02-01-04.wav,04,sad,01,02,01,04
../data/raw\Actor_04\03-01-04-01-02-02-04.wav,04,sad,01,02,02,04
../data/raw\Actor_04\03-01-04-02-01-01-04.wav,04,sad,02,01,01,04
../data/raw\Actor_04\03-01-04-02-01-02-04.wav,04,sad,02,01,02,04
../data/raw\Actor_04\03-01-04-02-02-01-04.wav,04,sad,02,02,01,04
../data/raw\Actor_04\03-01-04-02-02-02-04.wav,04,sad,02,02,02,04
../data/raw\Actor_04\03-01-05-01-01-01-04.wav,05,angry,01,01,01,04
../data/raw\Actor_04\03-01-05-01-01-02-04.wav,05,angry,01,01,02,04
../data/raw\Actor_04\03-01-05-01-02-01-04.wav,05,angry,01,02,01,04
../data/raw\Actor_04\03-01-05-01-02-02-04.wav,05,angry,01,02,02,04
../data/raw\Actor_04\03-01-05-02-01-01-04.wav,05,angry,02,01,01,04
../data/raw\Actor_04\03-01-05-02-01-02-04.wav,05,angry,02,01,02,04
../data/raw\Actor_04\03-01-05-02-02-01-04.wav,05,angry,02,02,01,04
../data/raw\Actor_04\03-01-05-02-02-02-04.wav,05,angry,02,02,02,04
../data/raw\Actor_04\03-01-06-01-01-01-04.wav,06,fearful,01,01,01,04
../data/raw\Actor_04\03-01-06-01-01-02-04.wav,06,fearful,01,01,02,04
../data/raw\Actor_04\03-01-06-01-02-01-04.wav,06,fearful,01,02,01,04
../data/raw\Actor_04\03-01-06-01-02-02-04.wav,06,fearful,01,02,02,04
../data/raw\Actor_04\03-01-06-02-01-01-04.wav,06,fearful,02,01,01,04
../data/raw\Actor_04\03-01-06-02-01-02-04.wav,06,fearful,02,01,02,04
../data/raw\Actor_04\03-01-06-02-02-01-04.wav,06,fearful,02,02,01,04
../data/raw\Actor_04\03-01-06-02-02-02-04.wav,06,fearful,02,02,02,04
../data/raw\Actor_04\03-01-07-01-01-01-04.wav,07,disgust,01,01,01,04
../data/raw\Actor_04\03-01-07-01-01-02-04.wav,07,disgust,01,01,02,04
../data/raw\Actor_04\03-01-07-01-02-01-04.wav,07,disgust,01,02,01,04
../data/raw\Actor_04\03-01-07-01-02-02-04.wav,07,disgust,01,02,02,04
../data/raw\Actor_04\03-01-07-02-01-01-04.wav,07,disgust,02,01,01,04
../data/raw\Actor_04\03-01-07-02-01-02-04.wav,07,disgust,02,01,02,04
../data/raw\Actor_04\03-01-07-02-02-01-04.wav,07,disgust,02,02,01,04
../data/raw\Actor_04\03-01-07-02-02-02-04.wav,07,disgust,02,02,02,04
../data/raw\Actor_04\03-01-08-01-01-01-04.wav,08,surprised,01,01,01,04
../data/raw\Actor_04\03-01-08-01-01-02-04.wav,08,surprised,01,01,02,04
../data/raw\Actor_04\03-01-08-01-02-01-04.wav,08,surprised,01,02,01,04
../data/raw\Actor_04\03-01-08-01-02-02-04.wav,08,surprised,01,02,02,04
../data/raw\Actor_04\03-01-08-02-01-01-04.wav,08,surprised,02,01,01,04
../data/raw\Actor_04\03-01-08-02-01-02-04.wav,08,surprised,02,01,02,04
../data/raw\Actor_04\03-01-08-02-02-01-04.wav,08,surprised,02,02,01,04
../data/raw\Actor_04\03-01-08-02-02-02-04.wav,08,surprised,02,02,02,04
../data/raw\Actor_05\03-01-01-01-01-01-05.wav,01,neutral,01,01,01,05
../data/raw\Actor_05\03-01-01-01-01-02-05.wav,01,neutral,01,01,02,05
../data/raw\Actor_05\03-01-01-01-02-01-05.wav,01,neutral,01,02,01,05
../data/raw\Actor_05\03-01-01-01-02-02-05.wav,01,neutral,01,02,02,05
../data/raw\Actor_05\03-01-02-01-01-01-05.wav,02,calm,01,01,01,05
../data/raw\Actor_05\03-01-02-01-01-02-05.wav,02,calm,01,01,02,05
../data/raw\Actor_05\03-01-02-01-02-01-05.wav,02,calm,01,02,01,05
../data/raw\Actor_05\03-01-02-01-02-02-05.wav,02,calm,01,02,02,05
../data/raw\Actor_05\03-01-02-02-01-01-05.wav,02,calm,02,01,01,05
../data/raw\Actor_05\03-01-02-02-01-02-05.wav,02,calm,02,01,02,05
../data/raw\Actor_05\03-01-02-02-02-01-05.wav,02,calm,02,02,01,05
../data/raw\Actor_05\03-01-02-02-02-02-05.wav,02,calm,02,02,02,05
../data/raw\Actor_05\03-01-03-01-01-01-05.wav,03,happy,01,01,01,05
../data/raw\Actor_05\03-01-03-01-01-02-05.wav,03,happy,01,01,02,05
../data/raw\Actor_05\03-01-03-01-02-01-05.wav,03,happy,01,02,01,05
../data/raw\Actor_05\03-01-03-01-02-02-05.wav,03,happy,01,02,02,05
../data/raw\Actor_05\03-01-03-02-01-01-05.wav,03,happy,02,01,01,05
../data/raw\Actor_05\03-01-03-02-01-02-05.wav,03,happy,02,01,02,05
../data/raw\Actor_05\03-01-03-02-02-01-05.wav,03,happy,02,02,01,05
../data/raw\Actor_05\03-01-03-02-02-02-05.wav,03,happy,02,02,02,05
../data/raw\Actor_05\03-01-04-01-01-01-05.wav,04,sad,01,01,01,05
../data/raw\Actor_05\03-01-04-01-01-02-05.wav,04,sad,01,01,02,05
../data/raw\Actor_05\03-01-04-01-02-01-05.wav,04,sad,01,02,01,05
../data/raw\Actor_05\03-01-04-01-02-02-05.wav,04,sad,01,02,02,05
../data/raw\Actor_05\03-01-04-02-01-01-05.wav,04,sad,02,01,01,05
../data/raw\Actor_05\03-01-04-02-01-02-05.wav,04,sad,02,01,02,05
../data/raw\Actor_05\03-01-04-02-02-01-05.wav,04,sad,02,02,01,05
../data/raw\Actor_05\03-01-04-02-02-02-05.wav,04,sad,02,02,02,05
../data/raw\Actor_05\03-01-05-01-01-01-05.wav,05,angry,01,01,01,05
../data/raw\Actor_05\03-01-05-01-01-02-05.wav,05,angry,01,01,02,05
../data/raw\Actor_05\03-01-05-01-02-01-05.wav,05,angry,01,02,01,05
../data/raw\Actor_05\03-01-05-01-02-02-05.wav,05,angry,01,02,02,05
../data/raw\Actor_05\03-01-05-02-01-01-05.wav,05,angry,02,01,01,05
../data/raw\Actor_05\03-01-05-02-01-02-05.wav,05,angry,02,01,02,05
../data/raw\Actor_05\03-01-05-02-02-01-05.wav,05,angry,02,02,01,05
../data/raw\Actor_05\03-01-05-02-02-02-05.wav,05,angry,02,02,02,05
../data/raw\Actor_05\03-01-06-01-01-01-05.wav,06,fearful,01,01,01,05
../data/raw\Actor_05\03-01-06-01-01-02-05.wav,06,fearful,01,01,02,05
../data/raw\Actor_05\03-01-06-01-02-01-05.wav,06,fearful,01,02,01,05
../data/raw\Actor_05\03-01-06-01-02-02-05.wav,06,fearful,01,02,02,05
../data/raw\Actor_05\03-01-06-02-01-01-05.wav,06,fearful,02,01,01,05
../data/raw\Actor_05\03-01-06-02-01-02-05.wav,06,fearful,02,01,02,05
../data/raw\Actor_05\03-01-06-02-02-01-05.wav,06,fearful,02,02,01,05
../data/raw\Actor_05\03-01-06-02-02-02-05.wav,06,fearful,02,02,02,05
../data/raw\Actor_05\03-01-07-01-01-01-05.wav,07,disgust,01,01,01,05
../data/raw\Actor_05\03-01-07-01-01-02-05.wav,07,disgust,01,01,02,05
../data/raw\Actor_05\03-01-07-01-02-01-05.wav,07,disgust,01,02,01,05
../data/raw\Actor_05\03-01-07-01-02-02-05.wav,07,disgust,01,02,02,05
../data/raw\Actor_05\03-01-07-02-01-01-05.wav,07,disgust,02,01,01,05
../data/raw\Actor_05\03-01-07-02-01-02-05.wav,07,disgust,02,01,02,05
../data/raw\Actor_05\03-01-07-02-02-01-05.wav,07,disgust,02,02,01,05
../data/raw\Actor_05\03-01-07-02-02-02-05.wav,07,disgust,02,02,02,05
../data/raw\Actor_05\03-01-08-01-01-01-05.wav,08,surprised,01,01,01,05
../data/raw\Actor_05\03-01-08-01-01-02-05.wav,08,surprised,01,01,02,05
../data/raw\Actor_05\03-01-08-01-02-01-05.wav,08,surprised,01,02,01,05
../data/raw\Actor_05\03-01-08-01-02-02-05.wav,08,surprised,01,02,02,05
../data/raw\Actor_05\03-01-08-02-01-01-05.wav,08,surprised,02,01,01,05
../data/raw\Actor_05\03-01-08-02-01-02-05.wav,08,surprised,02,01,02,05
../data/raw\Actor_05\03-01-08-02-02-01-05.wav,08,surprised,02,02,01,05
../data/raw\Actor_05\03-01-08-02-02-02-05.wav,08,surprised,02,02,02,05
../data/raw\Actor_06\03-01-01-01-01-01-06.wav,01,neutral,01,01,01,06
../data/raw\Actor_06\03-01-01-01-01-02-06.wav,01,neutral,01,01,02,06
../data/raw\Actor_06\03-01-01-01-02-01-06.wav,01,neutral,01,02,01,06
../data/raw\Actor_06\03-01-01-01-02-02-06.wav,01,neutral,01,02,02,06
../data/raw\Actor_06\03-01-02-01-01-01-06.wav,02,calm,01,01,01,06
../data/raw\Actor_06\03-01-02-01-01-02-06.wav,02,calm,01,01,02,06
../data/raw\Actor_06\03-01-02-01-02-01-06.wav,02,calm,01,02,01,06
../data/raw\Actor_06\03-01-02-01-02-02-06.wav,02,calm,01,02,02,06
../data/raw\Actor_06\03-01-02-02-01-01-06.wav,02,calm,02,01,01,06
../data/raw\Actor_06\03-01-02-02-01-02-06.wav,02,calm,02,01,02,06
../data/raw\Actor_06\03-01-02-02-02-01-06.wav,02,calm,02,02,01,06
../data/raw\Actor_06\03-01-02-02-02-02-06.wav,02,calm,02,02,02,06
../data/raw\Actor_06\03-01-03-01-01-01-06.wav,03,happy,01,01,01,06
../data/raw\Actor_06\03-01-03-01-01-02-06.wav,03,happy,01,01,02,06
../data/raw\Actor_06\03-01-03-01-02-01-06.wav,03,happy,01,02,01,06
../data/raw\Actor_06\03-01-03-01-02-02-06.wav,03,happy,01,02,02,06
../data/raw\Actor_06\03-01-03-02-01-01-06.wav,03,happy,02,01,01,06
../data/raw\Actor_06\03-01-03-02-01-02-06.wav,03,happy,02,01,02,06
../data/raw\Actor_06\03-01-03-02-02-01-06.wav,03,happy,02,02,01,06
../data/raw\Actor_06\03-01-03-02-02-02-06.wav,03,happy,02,02,02,06
../data/raw\Actor_06\03-01-04-01-01-01-06.wav,04,sad,01,01,01,06
../data/raw\Actor_06\03-01-04-01-01-02-06.wav,04,sad,01,01,02,06
../data/raw\Actor_06\03-01-04-01-02-01-06.wav,04,sad,01,02,01,06
../data/raw\Actor_06\03-01-04-01-02-02-06.wav,04,sad,01,02,02,06
../data/raw\Actor_06\03-01-04-02-01-01-06.wav,04,sad,02,01,01,06
../data/raw\Actor_06\03-01-04-02-01-02-06.wav,04,sad,02,01,02,06
../data/raw\Actor_06\03-01-04-02-02-01-06.wav,04,sad,02,02,01,06
../data/raw\Actor_06\03-01-04-02-02-02-06.wav,04,sad,02,02,02,06
